token_id	surface	norm	text_id	para_id	node_idx	is_tail	char_start	char_end	initial_char
mrav-aghdgoma-kyrile_p1_t0	ხარებდ	იხარებდ	mrav-aghdgoma-kyrile	p1	1	1	0	6	ი
mrav-aghdgoma-kyrile_p1_t1	იერუსალემ	იერუსალემ	mrav-aghdgoma-kyrile	p1	1	1	8	17	ი
mrav-aghdgoma-kyrile_p1_t2	და	და	mrav-aghdgoma-kyrile	p1	1	1	19	21	ი
mrav-aghdgoma-kyrile_p1_t3	შემოკერბით	შემოკერბით	mrav-aghdgoma-kyrile	p1	1	1	22	32	ი
mrav-aghdgoma-kyrile_p1_t4	მოყუარენი	მოყუარენი	mrav-aghdgoma-kyrile	p1	2	1	1	10	
mrav-aghdgoma-kyrile_p1_t5	იესუჲსნი	იესუისნი	mrav-aghdgoma-kyrile	p1	3	1	1	9	
mrav-aghdgoma-kyrile_p1_t6	აღდგომილ	აღდგომილ	mrav-aghdgoma-kyrile	p1	4	1	1	9	
mrav-aghdgoma-kyrile_p1_t7	არს	არს	mrav-aghdgoma-kyrile	p1	4	1	10	13	
mrav-aghdgoma-kyrile_p1_t8	რომელნი	რომელნი	mrav-aghdgoma-kyrile	p1	7	1	2	9	
mrav-aghdgoma-kyrile_p1_t9	ეგე	ეგე	mrav-aghdgoma-kyrile	p1	7	1	10	13	
mrav-aghdgoma-kyrile_p1_t10	იგლოვდით	იგლოვდით	mrav-aghdgoma-kyrile	p1	8	1	1	9	
mrav-aghdgoma-kyrile_p1_t11	რომელთა	რომელთა	mrav-aghdgoma-kyrile	p1	9	1	1	8	
mrav-aghdgoma-kyrile_p1_t12	ეგე	ეგე	mrav-aghdgoma-kyrile	p1	9	1	9	12	
mrav-aghdgoma-kyrile_p1_t13	ჰურიათა	ჰურიათა	mrav-aghdgoma-kyrile	p1	10	1	1	8	
mrav-aghdgoma-kyrile_p1_t14	კადრებაჲ	კადრებაი	mrav-aghdgoma-kyrile	p1	10	1	9	17	
mrav-aghdgoma-kyrile_p1_t15	გესმოდა	გესმოდა	mrav-aghdgoma-kyrile	p1	10	1	18	25	
mrav-aghdgoma-kyrile_p1_t16	და	და	mrav-aghdgoma-kyrile	p1	10	1	26	28	
mrav-aghdgoma-kyrile_p1_t17	იგი	იგი	mrav-aghdgoma-kyrile	p1	11	1	1	4	
mrav-aghdgoma-kyrile_p1_t18	მათი	მათი	mrav-aghdgoma-kyrile	p1	11	1	5	9	
mrav-aghdgoma-kyrile_p1_t19	რომელი	რომელი	mrav-aghdgoma-kyrile	p1	12	1	1	7	
mrav-aghdgoma-kyrile_p1_t20	იგი	იგი	mrav-aghdgoma-kyrile	p1	12	1	8	11	
mrav-aghdgoma-kyrile_p1_t21	იგინა	იგინა	mrav-aghdgoma-kyrile	p1	12	1	12	17	
